Beverage,Beverage_category,Beverage_prep,Milk_type,Calories,Total Fat (g),Trans Fat (g) ,Saturated Fat (g),Sodium (mg),Total Carbohydrates (g) ,Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g) 
Brewed Coffee,Coffee,Short,No Milk,3,0.1,0.0,0.0,0,5,0,0,0,0.3
Brewed Coffee,Coffee,Tall,No Milk,4,0.1,0.0,0.0,0,10,0,0,0,0.5
Brewed Coffee,Coffee,Grande,No Milk,5,0.1,0.0,0.0,0,10,0,0,0,1.0
Brewed Coffee,Coffee,Venti,No Milk,5,0.1,0.0,0.0,0,10,0,0,0,1.0
Caffè Latte,Espresso Drink,Short,Nonfat Milk,70,0.1,0.1,0.0,5,75,10,0,9,6.0
Caffè Latte,Espresso Drink,Tall,Nonfat Milk,100,0.2,0.2,0.0,5,120,15,0,14,10.0
Caffè Latte,Espresso Drink,Grande,Nonfat Milk,130,0.3,0.2,0.0,5,150,19,0,18,13.0
Caffè Latte,Espresso Drink,Venti,Nonfat Milk,170,0.4,0.3,0.0,10,190,25,0,23,16.0
Caffè Mocha (Without Whipped Cream),Espresso Drink,Short,Nonfat Milk,110,1.5,1.0,0.0,5,60,21,1,17,7.0
Caffè Mocha (Without Whipped Cream),Espresso Drink,Tall,Nonfat Milk,170,2.0,1.0,0.0,5,100,32,1,27,10.0
Caffè Mocha (Without Whipped Cream),Espresso Drink,Grande,Nonfat Milk,220,2.5,1.5,0.0,5,125,43,2,34,13.0
Caffè Mocha (Without Whipped Cream),Espresso Drink,Venti,Nonfat Milk,280,3.0,2.0,0.0,10,160,54,2,44,17.0
Vanilla Latte (Or Other Flavoured Latte),Espresso Drink,Short,Nonfat Milk,100,0.1,0.1,0.0,5,70,19,0,18,6.0
Vanilla Latte (Or Other Flavoured Latte),Espresso Drink,Tall,Nonfat Milk,150,0.2,0.1,0.0,5,110,28,0,27,9.0
Vanilla Latte (Or Other Flavoured Latte),Espresso Drink,Grande,Nonfat Milk,200,0.3,0.2,0.0,5,140,37,0,35,12.0
Vanilla Latte (Or Other Flavoured Latte),Espresso Drink,Venti,Nonfat Milk,250,0.3,0.2,0.0,10,180,47,0,45,15.0
Caffè Americano,Espresso Drink,Short,No Milk,5,0.0,0.0,0.0,0,5,1,0,0,0.4
Caffè Americano,Espresso Drink,Tall,No Milk,10,0.0,0.0,0.0,0,10,2,0,0,1.0
Caffè Americano,Espresso Drink,Grande,No Milk,15,0.0,0.0,0.0,0,15,3,0,0,1.0
Caffè Americano,Espresso Drink,Venti,No Milk,25,0.0,0.0,0.0,0,15,4,0,0,1.0
Cappuccino,Espresso Drink,Short,Nonfat Milk,50,0.1,0.1,0.0,5,60,8,0,7,5.0
Cappuccino,Espresso Drink,Tall,Nonfat Milk,60,0.1,0.1,0.0,5,70,9,0,8,6.0
Cappuccino,Espresso Drink,Grande,Nonfat Milk,80,0.2,0.1,0.0,5,90,12,0,10,8.0
Cappuccino,Espresso Drink,Venti,Nonfat Milk,110,0.2,0.2,0.0,5,120,16,0,14,10.0
Espresso,Espresso Drink,Short,No Milk,5,0.0,0.0,0.0,0,0,1,0,0,0.4
Espresso,Espresso Drink,Short,No Milk,10,0.0,0.0,0.0,0,1,2,0,0,1.0
Skinny Latte (Any Flavour),Espresso Drink,Short,Nonfat Milk,60,0.1,0.1,0.0,5,80,9,0,8,6.0
Skinny Latte (Any Flavour),Espresso Drink,Tall,Nonfat Milk,100,0.2,0.1,0.0,5,125,14,0,13,9.0
Skinny Latte (Any Flavour),Espresso Drink,Grande,Nonfat Milk,120,0.3,0.2,0.0,5,160,18,0,16,12.0
Skinny Latte (Any Flavour),Espresso Drink,Venti,Nonfat Milk,160,0.3,0.2,0.0,10,200,24,0,21,15.0
Caramel Macchiato,Espresso Drink,Short,Nonfat Milk,100,1.0,0.5,0.0,5,70,17,0,15,6.0
Caramel Macchiato,Espresso Drink,Tall,Nonfat Milk,140,1.0,0.5,0.0,5,105,25,0,24,8.0
Caramel Macchiato,Espresso Drink,Grande,Nonfat Milk,190,1.0,1.0,0.0,10,130,35,0,32,11.0
Caramel Macchiato,Espresso Drink,Venti,Nonfat Milk,240,1.0,1.0,0.0,10,170,43,0,41,13.0
White Chocolate Mocha (Without Whipped Cream),Espresso Drink,Short,Nonfat Milk,180,3.0,2.0,0.0,5,120,31,0,29,7.0
White Chocolate Mocha (Without Whipped Cream),Espresso Drink,Tall,Nonfat Milk,270,4.5,3.5,0.0,5,190,47,0,45,12.0
White Chocolate Mocha (Without Whipped Cream),Espresso Drink,Grande,Nonfat Milk,350,6.0,4.5,0.0,10,240,61,0,58,15.0
White Chocolate Mocha (Without Whipped Cream),Espresso Drink,Venti,Nonfat Milk,450,7.0,6.0,0.0,10,310,78,0,74,19.0
Hot Chocolate (Without Whipped Cream),Espresso Drink,Short,Nonfat Milk,130,1.5,1.0,0.0,5,70,26,1,23,7.0
Hot Chocolate (Without Whipped Cream),Espresso Drink,Tall,Nonfat Milk,190,2.0,1.0,0.0,5,110,37,1,32,11.0
Hot Chocolate (Without Whipped Cream),Espresso Drink,Grande,Nonfat Milk,240,2.5,1.5,0.0,5,140,48,2,41,14.0
Hot Chocolate (Without Whipped Cream),Espresso Drink,Venti,Nonfat Milk,320,3.0,2.0,0.0,10,180,63,2,55,18.0
Caramel Apple Spice (Without Whipped Cream),Espresso Drink,Short,No Milk,140,0.0,0.0,0.0,0,10,35,0,33,0.0
Caramel Apple Spice (Without Whipped Cream),Espresso Drink,Tall,No Milk,210,0.0,0.0,0.0,0,15,53,0,49,0.0
Caramel Apple Spice (Without Whipped Cream),Espresso Drink,Grande,No Milk,280,0.0,0.0,0.0,0,20,70,0,65,0.0
Caramel Apple Spice (Without Whipped Cream),Espresso Drink,Venti,No Milk,360,0.0,0.0,0.0,0,25,89,0,83,0.0
Tazo® Tea,Tazo® Tea Drinks,Short,No Milk,0,0.0,0.0,0.0,0,0,0,0,0,0.0
Tazo® Tea,Tazo® Tea Drinks,Tall,No Milk,0,0.0,0.0,0.0,0,0,0,0,0,0.0
Tazo® Tea,Tazo® Tea Drinks,Grande,No Milk,0,0.0,0.0,0.0,0,0,0,0,0,0.0
Tazo® Tea,Tazo® Tea Drinks,Venti,No Milk,0,0.0,0.0,0.0,0,0,0,0,0,0.0
Tazo® Chai Tea Latte,Tazo® Tea Drinks,Short,Nonfat Milk,100,0.1,0.1,0.0,0,50,22,0,21,4.0
Tazo® Chai Tea Latte,Tazo® Tea Drinks,Tall,Nonfat Milk,160,0.2,0.1,0.0,5,80,34,0,32,6.0
Tazo® Chai Tea Latte,Tazo® Tea Drinks,Grande,Nonfat Milk,210,0.2,0.1,0.0,5,105,45,0,43,8.0
