Beverage,Beverage_category,Beverage_prep,Milk_type,Calories,Total Fat (g),Trans Fat (g) ,Saturated Fat (g),Sodium (mg),Total Carbohydrates (g) ,Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV),Calcium (% DV) ,Iron (% DV) ,Caffeine (mg),Beverage_size,Beverage_category_Coffee,Beverage_category_Espresso Drink,Beverage_category_Frappuccino,Beverage_category_Shaken Iced Beverages,Beverage_category_Smoothies,Beverage_category_Tazo® Tea Drinks,Milk_type_No Milk,Milk_type_Nonfat Milk
Caffè Mocha (Without Whipped Cream),Classic Espresso Drinks,Grande,Nonfat Milk,220,2.5,1.5,0.0,5,125,43,2,34,13.0,20%,0%,35%,25%,175,2,False,True,False,False,False,False,False,True
Caffè Mocha (Without Whipped Cream),Classic Espresso Drinks,Venti,Nonfat Milk,280,3.0,2.0,0.0,10,160,54,2,44,17.0,25%,0%,45%,30%,180,3,False,True,False,False,False,False,False,True
Vanilla Latte (Or Other Flavoured Latte),Classic Espresso Drinks,Short,Nonfat Milk,100,0.1,0.1,0.0,5,70,19,0,18,6.0,10%,0%,20%,0%,75,0,False,True,False,False,False,False,False,True
Vanilla Latte (Or Other Flavoured Latte),Classic Espresso Drinks,Tall,Nonfat Milk,150,0.2,0.1,0.0,5,110,28,0,27,9.0,15%,0%,30%,0%,75,1,False,True,False,False,False,False,False,True
Vanilla Latte (Or Other Flavoured Latte),Classic Espresso Drinks,Grande,Nonfat Milk,200,0.3,0.2,0.0,5,140,37,0,35,12.0,20%,0%,35%,0%,150,2,False,True,False,False,False,False,False,True
Vanilla Latte (Or Other Flavoured Latte),Classic Espresso Drinks,Venti,Nonfat Milk,250,0.3,0.2,0.0,10,180,47,0,45,15.0,25%,0%,50%,0%,150,3,False,True,False,False,False,False,False,True
Caffè Americano,Classic Espresso Drinks,Short,No Milk,5,0.0,0.0,0.0,0,5,1,0,0,0.4,0%,0%,0%,0%,75,0,False,True,False,False,False,False,True,False
Caffè Americano,Classic Espresso Drinks,Tall,No Milk,10,0.0,0.0,0.0,0,10,2,0,0,1.0,0%,0%,2%,0%,150,1,False,True,False,False,False,False,True,False
Caffè Americano,Classic Espresso Drinks,Grande,No Milk,15,0.0,0.0,0.0,0,15,3,0,0,1.0,0%,0%,2%,0%,225,2,False,True,False,False,False,False,True,False
Caffè Americano,Classic Espresso Drinks,Venti,No Milk,25,0.0,0.0,0.0,0,15,4,0,0,1.0,0%,0%,2%,0%,300,3,False,True,False,False,False,False,True,False
Cappuccino,Classic Espresso Drinks,Short,Nonfat Milk,50,0.1,0.1,0.0,5,60,8,0,7,5.0,8%,0%,15%,0%,75,0,False,True,False,False,False,False,False,True
Cappuccino,Classic Espresso Drinks,Tall,Nonfat Milk,60,0.1,0.1,0.0,5,70,9,0,8,6.0,10%,0%,20%,0%,75,1,False,True,False,False,False,False,False,True
Cappuccino,Classic Espresso Drinks,Grande,Nonfat Milk,80,0.2,0.1,0.0,5,90,12,0,10,8.0,15%,0%,25%,0%,150,2,False,True,False,False,False,False,False,True
Cappuccino,Classic Espresso Drinks,Venti,Nonfat Milk,110,0.2,0.2,0.0,5,120,16,0,14,10.0,20%,0%,30%,0%,150,3,False,True,False,False,False,False,False,True
Espresso,Classic Espresso Drinks,Short,No Milk,5,0.0,0.0,0.0,0,0,1,0,0,0.4,0%,0%,0%,0%,75,0,False,True,False,False,False,False,True,False
Espresso,Classic Espresso Drinks,Short,No Milk,10,0.0,0.0,0.0,0,1,2,0,0,1.0,0%,0%,0%,0%,150,0,False,True,False,False,False,False,True,False
Skinny Latte (Any Flavour),Classic Espresso Drinks,Short,Nonfat Milk,60,0.1,0.1,0.0,5,80,9,0,8,6.0,10%,0%,20%,0%,75,0,False,True,False,False,False,False,False,True
Skinny Latte (Any Flavour),Classic Espresso Drinks,Tall,Nonfat Milk,100,0.2,0.1,0.0,5,125,14,0,13,9.0,15%,0%,30%,0%,75,1,False,True,False,False,False,False,False,True
Skinny Latte (Any Flavour),Classic Espresso Drinks,Grande,Nonfat Milk,120,0.3,0.2,0.0,5,160,18,0,16,12.0,20%,0%,35%,0%,150,2,False,True,False,False,False,False,False,True
Skinny Latte (Any Flavour),Classic Espresso Drinks,Venti,Nonfat Milk,160,0.3,0.2,0.0,10,200,24,0,21,15.0,25%,0%,50%,0%,150,3,False,True,False,False,False,False,False,True
Caramel Macchiato,Signature Espresso Drinks,Short,Nonfat Milk,100,1.0,0.5,0.0,5,70,17,0,15,6.0,10%,0%,15%,0%,75,0,False,True,False,False,False,False,False,True
Caramel Macchiato,Signature Espresso Drinks,Tall,Nonfat Milk,140,1.0,0.5,0.0,5,105,25,0,24,8.0,15%,0%,25%,0%,75,1,False,True,False,False,False,False,False,True
Caramel Macchiato,Signature Espresso Drinks,Grande,Nonfat Milk,190,1.0,1.0,0.0,10,130,35,0,32,11.0,20%,0%,35%,0%,150,2,False,True,False,False,False,False,False,True
Caramel Macchiato,Signature Espresso Drinks,Venti,Nonfat Milk,240,1.0,1.0,0.0,10,170,43,0,41,13.0,25%,0%,40%,0%,150,3,False,True,False,False,False,False,False,True
White Chocolate Mocha (Without Whipped Cream),Signature Espresso Drinks,Short,Nonfat Milk,180,3.0,2.0,0.0,5,120,31,0,29,7.0,10%,0%,25%,0%,75,0,False,True,False,False,False,False,False,True
White Chocolate Mocha (Without Whipped Cream),Signature Espresso Drinks,Tall,Nonfat Milk,270,4.5,3.5,0.0,5,190,47,0,45,12.0,15%,2%,35%,0%,75,1,False,True,False,False,False,False,False,True
White Chocolate Mocha (Without Whipped Cream),Signature Espresso Drinks,Grande,Nonfat Milk,350,6.0,4.5,0.0,10,240,61,0,58,15.0,20%,2%,45%,2%,150,2,False,True,False,False,False,False,False,True
White Chocolate Mocha (Without Whipped Cream),Signature Espresso Drinks,Venti,Nonfat Milk,450,7.0,6.0,0.0,10,310,78,0,74,19.0,25%,2%,60%,2%,150,3,False,True,False,False,False,False,False,True
Hot Chocolate (Without Whipped Cream),Signature Espresso Drinks,Short,Nonfat Milk,130,1.5,1.0,0.0,5,70,26,1,23,7.0,10%,0%,20%,10%,10,0,False,True,False,False,False,False,False,True
Hot Chocolate (Without Whipped Cream),Signature Espresso Drinks,Tall,Nonfat Milk,190,2.0,1.0,0.0,5,110,37,1,32,11.0,15%,0%,30%,20%,20,1,False,True,False,False,False,False,False,True
